no,name_of_member,state,party,term_start,term_end,vacation_date_reason,vacation_date,vacation_reason,party_normalized
37,Papireddi Shri Bezawada,Andhra Pradesh,JAN,4/10/1972,4/9/1978,Retirement,4/9/1978,Retirement,
42,Parbhu Singh Shri,Haryana,JAN,8/2/1974,8/1/1980,Retirement,8/1/1980,Retirement,
45,Parikh Prof. Ramlal,Gujarat,JAN,8/14/1975,8/13/1981,Retirement,8/13/1981,Retirement,
94,Patil Shri Veerendra,Karnataka,JAN,4/10/1972,4/9/1978,Retirement,4/9/1978,Retirement,
144,Prem Manohar Shri,Uttar Pradesh,JAN,7/14/1977,4/2/1980,Retirement,4/2/1980,Retirement,
100,Rao Smt. Rathnabai Sreenivasa,Andhra Pradesh,JAN,4/10/1972,4/9/1978,Retirement,4/9/1978,Retirement,
140,Reddy Shri B. Satyanarayan,Andhra Pradesh,JAN,4/10/1978,4/9/1984,Retirement,4/9/1984,Retirement,
183,Routray Shri Nilamoni,Odisha,JAN,4/3/1976,4/2/1982,26/06/1977 Resignation,6/26/1977,Resignation,
104,Seziyan Shri Era,Tamil Nadu,JAN,4/3/1978,4/2/1984,Retirement,4/2/1984,Retirement,
114,Shahabuddin Shri Syed,Bihar,JAN,7/25/1979,4/9/1984,Retirement,4/9/1984,Retirement,
116,Shahi Shri Nageshwar Prasad,Uttar Pradesh,Socialist,4/3/1970,4/2/1976,Retirement,4/2/1976,Retirement,
116,Shahi Shri Nageshwar Prasad,Uttar Pradesh,JAN,4/3/1976,4/2/1982,Retirement,4/2/1982,Retirement,
119,Shanti Bhushan Shri,Uttar Pradesh,JAN,7/14/1977,4/2/1980,Retirement,4/2/1980,Retirement,
124,Sharma Shri Ajit Kumar,Assam,JAN,4/10/1978,4/9/1984,Retirement,4/9/1984,Retirement,
147,Shastri Shri Brahmdeo Ram,Bihar,JAN,7/25/1979,4/2/1980,Retirement,4/2/1980,Retirement,
153,Sheikh Shri Abdul Rehman,Uttar Pradesh,JAN,4/3/1978,4/2/1984,Retirement,4/2/1984,Retirement,
176,Siddhu Dr. M.M.S.,Uttar Pradesh,JAN,7/18/1977,4/2/1978,Retirement,4/2/1978,Retirement,
176,Siddhu Dr. M.M.S.,Uttar Pradesh,JAN,4/3/1978,4/2/1984,Retirement,4/2/1984,Retirement,
