sr_no,member_name,state,party,term,vacation_reason,from_date,to_date,,
13,Panda Shri Brahmananda,Odisha,Congress,30/11/1967 02/04/1972,Retirement,30/11/67,02/04/72,,
11,Panda Shri Brahmananda,Odisha,Congress,03/04/1972 02/04/1978,Retirement,03/04/72,02/04/78,,
14,Panda Smt. Ila,Odisha,JD,02/07/1992 01/07/1998,Retirement,02/07/92,01/07/98,,
15,Panda Shri Krishna Chandra,Odisha,Swatantra,03/04/1968 02/04/1974,"14/03/1974
Resignation",03/04/68,02/04/74,,
16,Pande Shri Avinash,Maharashtra,INC,05/07/2010 04/07/2016,Retirement,05/07/10,04/07/16,,
17,Pande Shri Bishambhar Nath,Uttar Pradesh,CONG(I),03/04/1976 02/04/1982,Retirement,03/04/76,02/04/82,,
15,Pande Shri Bishambhar Nath,Uttar Pradesh,CONG(I),03/04/1982 02/04/1988,"29/06/1983
Resignation",03/04/82,02/04/88,,
16,Pande Shri Bishambhar Nath,Nominated,NOM.,25/11/1988 24/11/1994,Retirement,25/11/88,24/11/94,,
18,Pande Shri C.D.,Uttar Pradesh,Congress,03/04/1962 02/04/1968,Retirement,03/04/62,02/04/68,,
18,Pande Shri C.D.,Uttar Pradesh,Congress,03/04/1968 02/04/1974,Retirement,03/04/68,02/04/74,,
19,Pande Shri Tarkeshwar,Uttar Pradesh,Congress,03/04/1952 02/04/1958,Retirement,03/04/52,02/04/58,,
19,Pande Shri Tarkeshwar,Uttar Pradesh,Congress,03/04/1958 02/04/1964,Retirement,03/04/58,02/04/64,,
19,Pande Shri Tarkeshwar,Uttar Pradesh,Congress,03/04/1964 02/04/1970,"15/12/1964
Resignation",03/04/64,02/04/70,,
20,Pande Shri Tarkeshwar,Uttar Pradesh,Congress,30/07/1966 02/04/1970,Retirement,30/07/66,02/04/70,,
20,Pandey Smt. Chandra Kala,West Bengal,CPI(M),19/08/1993 18/08/1999,Retirement,19/08/93,18/08/99,,
22,Pandey Smt. Chandra Kala,West Bengal,CPI(M),19/08/1999 18/08/2005,Retirement,19/08/99,18/08/05,,
21,Pandey Smt. Manorama,Bihar,CONG(I),07/07/1980 06/07/1986,Retirement,07/07/80,06/07/86,,
22,Pandey Smt. Manorama,Bihar,CONG(I),07/07/1986 06/07/1992,Retirement,07/07/86,06/07/92,,
22,Pandey Shri Narsingh Narain,Uttar Pradesh,CONG(I),30/06/1980 02/04/1982,Retirement,30/06/80,02/04/82,,
23,Pandey Dr. Ratnakar,Uttar Pradesh,CONG(I),05/07/1986 04/07/1992,Retirement,05/07/86,04/07/92,,
24,Pandey Shri Sudhakar,Uttar Pradesh,CONG(I),05/07/1980 04/07/1986,Retirement,05/07/80,04/07/86,,
25,Pandian Shri N. Thangaraj,Tamil Nadu,AIADMK,30/06/1992 29/06/1998,Retirement,30/06/92,29/06/98,,
26,Pandian Shri Paul Manoj,Tamil Nadu,AIADMK,30/06/2010 29/06/2016,Retirement,30/06/10,29/06/16,,
27,Pandya Shri Dilipbhai,Gujarat,BJP,19/08/2011 18/08/2017,,19/08/11,18/08/17,,
28,Pandya Dr. Pranav,Nominated,NOM.,04/05/2016 03/05/2022,"11/05/2016
Resignation",04/05/16,03/05/22,,
29,Panicker Shri K. Vasudeva,Odisha,CONG(I),03/04/1984 02/04/1990,"03/05/1988
Death",03/04/84,02/04/90,,
30,Panigrahi Shri Swapnananda,Odisha,Congress,03/04/1954 02/04/1960,Retirement,03/04/54,02/04/60,,
31,Panikkar Sardar K.M.,Nominated,NOM.,25/08/1959 02/04/1960,Retirement,25/08/59,02/04/60,,
27,Panikkar Sardar K.M.,Nominated,NOM.,03/04/1960 02/04/1966,"22/05/1961
Resignation",03/04/60,02/04/66,,
32,Panjhazari Sardar Raghbir Singh,Patiala and East Punjab States Union,Congress,03/04/1954 02/04/1960,Retirement,03/04/54,02/04/60,,
29,Panjhazari Sardar Raghbir Singh,Patiala and East Punjab States Union,Congress,03/04/1960 02/04/1966,Retirement,03/04/60,02/04/66,,
29,Panjhazari Sardar Raghbir Singh,Patiala and East Punjab States Union,Congress,03/04/1966 02/04/1972,Retirement,03/04/66,02/04/72,,
33,Pant Pandit Govind Ballabh,Uttar Pradesh,Congress,02/03/1955 02/04/1958,Retirement,02/03/55,02/04/58,,
30,Pant Pandit Govind Ballabh,Uttar Pradesh,Congress,03/04/1958 02/04/1964,"07/03/1961
Death",03/04/58,02/04/64,,
34,Pant Shri K.C.,Uttar Pradesh,CONG(I),03/04/1978 02/04/1984,Retirement,03/04/78,02/04/84,,
35,Panwar Shri B.L.,Rajasthan,CONG(I),02/07/1985 04/07/1986,Retirement,02/07/85,04/07/86,,
32,Panwar Shri B.L.,Rajasthan,CONG(I),05/07/1986 04/07/1992,Retirement,05/07/86,04/07/92,,
36,Pany Shri Rudra Narayan,Odisha,BJP,24/06/2004 03/04/2006,Retirement,24/06/04,03/04/06,,
32,Pany Shri Rudra Narayan,Odisha,BJP,04/04/2006 03/04/2012,Retirement,04/04/06,03/04/12,,
37,Papireddi Shri Bezawada,Andhra Pradesh,JAN,10/04/1972 09/04/1978,Retirement,10/04/72,09/04/78,,
38,Parameswaran Shri B.,Madras,O,03/04/1958 02/04/1964,"12/03/1962
Resignation",03/04/58,02/04/64,,
39,Paranjpye Smt. Shakuntala,Nominated,NOM.,03/04/1964 02/04/1970,Retirement,03/04/64,02/04/70,,
40,Parasaran Shri K.,Nominated,NOM.,29/06/2012 28/06/2018,Retirement,29/06/12,28/06/18,,
41,Parashar Shri Vinaykumar Ramlal,Maharashtra,Congress,03/04/1972 02/04/1978,Retirement,03/04/72,02/04/78,,
42,Parbhu Singh Shri,Haryana,JAN,02/08/1974 01/08/1980,Retirement,02/08/74,01/08/80,,
43,Parida Shri Baishnab,Odisha,BJD,02/07/2010 01/07/2016,Retirement,02/07/10,01/07/16,,
44,Parikh Shri Chandulal Pitamberdas,Bombay,Congress,03/04/1952 02/04/1954,Retirement,03/04/52,02/04/54,,
38,Parikh Shri Chandulal Pitamberdas,Bombay,Congress,03/04/1954 02/04/1958,Retirement,03/04/54,02/04/58,,
45,Parikh Prof. Ramlal,Gujarat,JAN,14/08/1975 13/08/1981,Retirement,14/08/75,13/08/81,,
46,Parjapati Shri Ranbir Singh,Haryana,INLD,02/08/2010 01/08/2016,"01/11/2014
Resignation",02/08/10,01/08/16,,
47,Parmanand Dr.(Smt.) Seeta,Madhya Pradesh,Congress,03/04/1952 02/04/1958,Retirement,03/04/52,02/04/58,,
39,Parmanand Dr.(Smt.) Seeta,Madhya Pradesh,Congress,03/04/1958 02/04/1964,Retirement,03/04/58,02/04/64,,
48,Parmar Shri Bharatsinh Prabhatsinh,Gujarat,BJP,10/04/2008 09/04/2014,Retirement,10/04/08,09/04/14,,
49,Parmar Shri Kripal,Himachal Pradesh,BJP,03/04/2000 02/04/2006,Retirement,03/04/00,02/04/06,,
50,Parrikar Shri Manohar,Uttar Pradesh,BJP,26/11/2014 25/11/2020,"02/09/2017
Resignation",26/11/14,25/11/20,,
51,Parthasarathy Prof.(Smt) G.,Madras,O,03/04/1960 02/04/1966,Retirement,03/04/60,02/04/66,,
52,Parthasarathy Shri R.T.,Madras,O,03/04/1966 02/04/1972,Retirement,03/04/66,02/04/72,,
53,Parvathi Krishnan Smt.,Tamil Nadu,O,03/04/1954 02/04/1960,"12/03/1957
Elected to Lok Sabha",03/04/54,02/04/60,,
54,Pasha Shri Syed Azeez,Andhra Pradesh,CPI,03/04/2006 02/04/2012,Retirement,03/04/06,02/04/12,,
55,Paswan Shri Braham Deo Anand,Bihar,JD,01/06/1993 02/04/1994,Retirement,01/06/93,02/04/94,,
56,Paswan Shri Kameshwar,Bihar,BJP,10/04/1990 09/04/1996,Retirement,10/04/90,09/04/96,,
57,Paswan Shri Ram Bhagat,Bihar,CONG(I),07/07/1980 06/07/1986,"29/12/1984
Elected to Lok Sabha",07/07/80,06/07/86,,
58,Patel Dr. A. K.,Gujarat,BJP,03/04/2000 02/04/2006,Retirement,03/04/00,02/04/06,,
59,Patel Smt. Anandiben Jethabhai,Gujarat,BJP,03/04/1994 02/04/2000,"12/03/1998
Resignation",03/04/94,02/04/00,,
60,Patel Shri Chhotubhai,Gujarat,CONG(I),14/08/1987 13/08/1993,Retirement,14/08/87,13/08/93,,
61,Patel Shri D.K.,Gujarat,JS,03/04/1970 02/04/1976,Retirement,03/04/70,02/04/76,,
62,Patel Shri Dahyabhai V.,Bombay,O,03/04/1958 02/04/1964,Retirement,03/04/58,02/04/64,,
49,Patel Shri Dahyabhai V.,Bombay,O,03/04/1964 02/04/1970,Retirement,03/04/64,02/04/70,,
50,Patel Shri Dahyabhai V.,Bombay,O,03/04/1970 02/04/1976,"11/08/1973
Death",03/04/70,02/04/76,,
63,Patel Shri Harihar,Odisha,O,03/04/1958 02/04/1964,"28/06/1961
Resignation",03/04/58,02/04/64,,
64,Patel Shri Kanjibhai,Gujarat,BJP,03/04/2006 02/04/2012,Retirement,03/04/06,02/04/12,,
65,Patel Shri Keshubhai S.,Gujarat,BJP,10/04/2002 09/04/2008,Retirement,10/04/02,09/04/08,,
66,Patel Shri Maganbhai Shankerbhai,Gujarat,Congress,16/08/1960 02/04/1962,Retirement,16/08/60,02/04/62,,
54,Patel Shri Maganbhai Shankerbhai,Gujarat,Congress,03/04/1962 02/04/1968,"16/04/1967
Death",03/04/62,02/04/68,,
67,Patel Ms. Maniben Vallabhbhai,Gujarat,O,03/04/1964 02/04/1970,Retirement,03/04/64,02/04/70,,
68,Patel Shri Manubhai,Gujarat,JD,10/04/1978 09/04/1984,Retirement,10/04/78,09/04/84,,
69,Patel Shri Mukesh R.,Maharashtra,SS,03/04/1996 02/04/2002,Retirement,03/04/96,02/04/02,,
57,Patel Shri Mukesh R.,Maharashtra,NCP,03/04/2002 02/04/2008,"15/06/2002
Death",03/04/02,02/04/08,,
70,Patel Shri Ram Pujan,Uttar Pradesh,INC,16/09/1981 04/07/1986,"29/12/1984
Elected to Lok Sabha",16/09/81,04/07/86,,
71,Patel Dr. Shanti G.,Maharashtra,JD,05/07/1980 04/07/1986,Retirement,05/07/80,04/07/86,,
72,Patel Shri Sundarmani,Odisha,O,03/04/1962 02/04/1968,Retirement,03/04/62,02/04/68,,
60,Patel Shri Sundarmani,Odisha,O,03/04/1968 02/04/1974,Retirement,03/04/68,02/04/74,,
73,Patel Shri Surendra Motilal,Gujarat,BJP,19/08/2005 18/08/2011,Retirement,19/08/05,18/08/11,,
74,Patel Shri Tribhovandas Kishibhai,Gujarat,Congress,21/07/1967 02/04/1968,Retirement,21/07/67,02/04/68,,
62,Patel Shri Tribhovandas Kishibhai,Gujarat,Congress,03/04/1968 02/04/1974,Retirement,03/04/68,02/04/74,,
75,Patel Smt. Urmilaben Chimanbhai,Gujarat,CONG(I),19/08/1993 18/08/1999,Retirement,19/08/93,18/08/99,,
76,Patel Shri Vithalbhai M.,Gujarat,CONG(I),03/04/1982 02/04/1988,Retirement,03/04/82,02/04/88,,
64,Patel Shri Vithalbhai M.,Gujarat,CONG(I),03/04/1988 02/04/1994,Retirement,03/04/88,02/04/94,,
77,Pathak Shri Ananda,West Bengal,CPI(M),13/07/1977 02/04/1978,Retirement,13/07/77,02/04/78,,
64,Pathak Shri Ananda,West Bengal,CPI(M),03/04/1978 02/04/1984,"09/01/1980
Retirement",03/04/78,02/04/84,,
78,Pathak Shri Brajesh,Uttar Pradesh,BSP,26/11/2008 25/11/2014,Retirement,26/11/08,25/11/14,,
79,Pathak Shri Gopal Swarup,Uttar Pradesh,Congress,03/04/1960 02/04/1966,Retirement,03/04/60,02/04/66,,
65,Pathak Shri Gopal Swarup,Uttar Pradesh,Congress,03/04/1966 02/04/1972,"13/05/1967
Resignation",03/04/66,02/04/72,,
80,Pathak Shri Saman,West Bengal,CPI(M),03/04/2006 02/04/2012,Retirement,03/04/06,02/04/12,,
81,Patil Shri Basawaraj,Karnataka,BJP,03/04/2012 02/04/2018,Retirement,03/04/12,02/04/18,,
82,Patil Shri Deorao,Maharashtra,CONG(I),03/04/1974 02/04/1980,"22/10/1978
Death",03/04/74,02/04/80,,
83,Patil Shri Dinkarrao Govindrao,Maharashtra,CONG(I),03/04/1982 02/04/1988,Retirement,03/04/82,02/04/88,,
84,Patil Dr. Gopalrao Vithalrao,Maharashtra,BJP,03/04/1994 02/04/2000,Retirement,03/04/94,02/04/00,,
85,Patil Shri Gulabrao,Maharashtra,CONG(I),03/04/1966 02/04/1972,Retirement,03/04/66,02/04/72,,
70,Patil Shri Gulabrao,Maharashtra,CONG(I),03/04/1972 02/04/1978,Retirement,03/04/72,02/04/78,,
86,Patil Shri Pandharinath Sitaramji,Maharashtra,Congress,03/04/1962 02/04/1968,Retirement,03/04/62,02/04/68,,
71,Patil Shri Pandharinath Sitaramji,Maharashtra,Congress,03/04/1968 02/04/1974,Retirement,03/04/68,02/04/74,,
87,Patil Smt. Pratibha Devisingh,Maharashtra,CONG(I),05/07/1985 02/04/1990,Retirement,05/07/85,02/04/90,,
88,Patil Smt. Rajani,Maharashtra,INC,10/01/2013 02/04/2018,Retirement,10/01/13,02/04/18,,
89,Patil Shri Shivajirao Giridhar,Maharashtra,CONG(I),05/07/1992 04/07/1998,Retirement,05/07/92,04/07/98,,
90,Patil Shri Shivraj Vishwanath,Maharashtra,INC,05/07/2004 04/07/2010,"21/01/2010
Resignation",05/07/04,04/07/10,,
91,Patil Shri Sonusing Dhansing,Bombay,Congress,22/04/1957 02/04/1958,Retirement,22/04/57,02/04/58,,
74,Patil Shri Sonusing Dhansing,Bombay,Congress,03/04/1958 02/04/1964,Retirement,03/04/58,02/04/64,,
92,Patil Smt. Suryakanta,Maharashtra,CONG(I),05/07/1986 04/07/1992,"17/11/1991
Elected to Lok Sabha",05/07/86,04/07/92,,
93,Patil Shri Udhavrao Sahebrao,Maharashtra,O,03/04/1964 02/04/1970,"02/03/1967
Resignation",03/04/64,02/04/70,,
94,Patil Shri Veerendra,Karnataka,JAN,10/04/1972 09/04/1978,Retirement,10/04/72,09/04/78,,
95,Patil Shri Vinayakrao Pandurang,Bombay,O,03/04/1960 02/04/1966,"01/12/1962
Resignation",03/04/60,02/04/66,,
96,Patil Shri Vishwasrao Ramrao,Maharashtra,JD,03/04/1988 02/04/1994,"14/05/1993
Resignation",03/04/88,02/04/94,,
97,Patil Puttappa Shri,Mysore,Congress,03/04/1962 02/04/1968,Retirement,03/04/62,02/04/68,,
78,Patil Puttappa Shri,Maharashtra,Congress,03/04/1968 02/04/1974,Retirement,03/04/68,02/04/74,,
98,Patnaik Shri Biju,Odisha,JD,13/05/1971 06/10/1971,"06/10/1971
Resignation",13/05/71,06/10/71,,
99,Patnaik Shri Dibakar,Odisha,PSP,03/04/1958 02/04/1964,Retirement,03/04/58,02/04/64,,
100,Patnaik Smt. Jayanti,Odisha,CONG(I),03/04/1996 02/04/2002,"03/03/1998
Elected to Lok Sabha",03/04/96,02/04/02,,
101,Patnaik Shri Soumya R.,Odisha,BJD,04/04/2018 03/04/2024,"06/06/2019
Resignation",04/04/18,03/04/24,,
102,Patra Shri Narayan,Odisha,Congress,03/04/1964 02/04/1970,Retirement,03/04/64,02/04/70,,
103,Pattabiraman Shri T.S.,Madras,Congress,03/04/1952 02/04/1956,Retirement,03/04/52,02/04/56,,
83,Pattabiraman Shri T.S.,Madras,Congress,20/04/1957 02/04/1960,Retirement,20/04/57,02/04/60,,
83,Pattabiraman Shri T.S.,Madras,Congress,03/04/1960 02/04/1966,Retirement,03/04/60,02/04/66,,
104,Pattanayak Shri Bhabani Charan,Odisha,Congress,29/08/1961 02/04/1966,Retirement,29/08/61,02/04/66,,
84,Pattanayak Shri Bhabani Charan,Odisha,Congress,03/04/1966 02/04/1972,Retirement,03/04/66,02/04/72,,
85,Pattanayak Shri Bhabani Charan,Odisha,CONG(I),03/04/1978 02/04/1984,Retirement,03/04/78,02/04/84,,
105,Pattnaik Shri Sunil Kumar,Odisha,CONG(I),03/04/1984 02/04/1990,Retirement,03/04/84,02/04/90,,
106,Paul Shri Makhan,West Bengal,RSP,10/07/1981 09/07/1987,Retirement,10/07/81,09/07/87,,
107,Pawar Shri D.Y.,Bombay,Congress,03/04/1952 02/04/1956,Retirement,03/04/52,02/04/56,,
89,Pawar Shri D.Y.,Bombay,Congress,03/04/1956 02/04/1962,Retirement,03/04/56,02/04/62,,
90,Pawar Shri D.Y.,Bombay,Congress,03/04/1962 02/04/1968,Retirement,03/04/62,02/04/68,,
91,Pawar Shri D.Y.,Bombay,CONG(I),03/04/1972 02/04/1978,Retirement,03/04/72,02/04/78,,
108,Pendse Shri Lalji Moreshwar,Bombay,CPI,03/04/1958 02/04/1964,Retirement,03/04/58,02/04/64,,
109,Perumal Shri C.,Tamil Nadu,AIADMK,03/04/2002 02/04/2008,Retirement,03/04/02,02/04/08,,
110,Perween Smt. Kahkashan,Bihar,JD(U),10/04/2014 09/04/2020,Retirement,10/04/14,09/04/20,,
111,Pheruman Sardar Darshan Singh,Punjab,Congress,03/04/1952 02/04/1956,Retirement,03/04/52,02/04/56,,
95,Pheruman Sardar Darshan Singh,Punjab,Congress,03/04/1956 22/10/1956,Retirement,03/04/56,22/10/56,,
95,Pheruman Sardar Darshan Singh,Punjab,Congress,03/04/1958 02/04/1964,Retirement,03/04/58,02/04/64,,
112,Phool Singh Shri,Uttar Pradesh,Congress,11/08/1969 27/09/1970,"27/09/1970
Death",11/08/69,27/09/70,,
113,Pilania Dr. Gyan Prakash,Rajasthan,BJP,29/06/2004 09/04/2008,Retirement,29/06/04,09/04/08,,
97,Pilania Dr. Gyan Prakash,Rajasthan,BJP,10/04/2008 09/04/2014,Retirement,10/04/08,09/04/14,,
114,Pillai Shri C. Narayana,Travancore Cochin,Congress,03/04/1952 02/04/1958,Retirement,03/04/52,02/04/58,,
115,Pillai Shri J. Sivashanmugam,Madras,Congress,03/04/1962 02/04/1968,Retirement,03/04/62,02/04/68,,
116,Pillai Shri K. Chandran,Kerala,CPI(M),22/04/2003 21/04/2009,Retirement,22/04/03,21/04/09,,
117,Pillai Shri S. Ramachandran,Kerala,CPI(M),22/04/1991 21/04/1997,Retirement,22/04/91,21/04/97,,
101,Pillai Shri S. Ramachandran,Kerala,CPI(M),22/04/1997 21/04/2003,Retirement,22/04/97,21/04/03,,
118,Pillai Shri Thennala G. Balakrishna,Kerala,CONG(I),30/07/1991 02/04/1992,Retirement,30/07/91,02/04/92,,
103,Pillai Shri Thennala G. Balakrishna,Kerala,CONG(I),03/04/1992 02/04/1998,Retirement,03/04/92,02/04/98,,
104,Pillai Shri Thennala G. Balakrishna,Kerala,INC,22/04/2003 21/04/2009,Retirement,22/04/03,21/04/09,,
119,Pitamber Das Shri,Uttar Pradesh,JS,03/04/1968 02/04/1974,Retirement,03/04/68,02/04/74,,
120,Poddar Dr. R.K.,West Bengal,CPI(M),12/03/1985 09/07/1987,Retirement,12/03/85,09/07/87,,
104,Poddar Dr. R.K.,West Bengal,CPI(M),10/07/1987 09/07/1993,Retirement,10/07/87,09/07/93,,
121,Poddar Shri Rajendra Kumar,Bihar,IND.,03/04/1968 02/04/1974,Retirement,03/04/68,02/04/74,,
106,Poddar Shri Rajendra Kumar,Bihar,IND.,03/04/1974 02/04/1980,Retirement,03/04/74,02/04/80,,
122,Poddar Shri Ramnath Anandilal,Rajasthan,Congress,03/04/1952 02/04/1954,Retirement,03/04/52,02/04/54,,
123,Poojary Shri Janardhana,Karnataka,CONG(I),03/04/1994 02/04/2000,Retirement,03/04/94,02/04/00,,
108,Poojary Shri Janardhana,Karnataka,INC,10/04/2002 09/04/2008,Retirement,10/04/02,09/04/08,,
124,Poonacha Shri C.M.,Mysore,Congress,03/04/1964 02/04/1970,"25/02/1967
Elected to Lok Sabha",03/04/64,02/04/70,,
125,Poswal Shri K.L.,Haryana,CONG(I),13/02/1996 01/08/1998,Retirement,13/02/96,01/08/98,,
126,Poulose Shri C. O.,Kerala,CPI(M),07/04/1998 21/04/2003,"21/04/2003
Retirement",07/04/98,21/04/03,,
127,Pradhan Shri Badri Narayan,West Bengal,CPI(M),03/04/1984 02/04/1990,"28/01/1986
Resignation",03/04/84,02/04/90,,
128,Pradhan Shri Narendra,Odisha,JD,02/07/1992 01/07/1998,Retirement,02/07/92,01/07/98,,
129,Pradhan Shri Patitpaban,Odisha,LD,13/07/1977 02/04/1982,Retirement,13/07/77,02/04/82,,
130,Pradhan Smt. Renubala,Odisha,BJD,03/04/2008 02/04/2014,Retirement,03/04/08,02/04/14,,
131,Pradhan Smt. Saraswati,Odisha,CONG(I),03/04/1972 02/04/1978,Retirement,03/04/72,02/04/78,,
132,Pradhan Shri Satish,Maharashtra,SS,05/07/1992 04/07/1998,Retirement,05/07/92,04/07/98,,
115,Pradhan Shri Satish,Maharashtra,SS,05/07/1998 04/07/2004,Retirement,05/07/98,04/07/04,,
133,Pragada Kotaiah Shri,Andhra Pradesh,CONG(I),10/04/1990 09/04/1996,"26/11/1995
Death",10/04/90,09/04/96,,
134,Prajapati Shri Praveen Kumar,Madhya Pradesh,CONG(I),30/06/1980 29/06/1986,Retirement,30/06/80,29/06/86,,
135,Prakash Shri Jai,Uttar Pradesh,BSP,04/08/2009 02/04/2012,Retirement,04/08/09,02/04/12,,
136,Prasad Shri Abhay Kant,Jharkhand,BJP,05/06/2002 07/07/2004,Retirement,05/06/02,07/07/04,,
137,Prasad Dr. Badri Nath,Nominated,NOM.,03/04/1964 02/04/1970,"18/01/1966
Death",03/04/64,02/04/70,,
138,Prasad Shri K.L.N.,Andhra Pradesh,Congress,03/04/1970 02/04/1976,Retirement,03/04/70,02/04/76,,
119,Prasad Shri K.L.N.,Andhra Pradesh,Congress,03/04/1976 02/04/1982,Retirement,03/04/76,02/04/82,,
119,Prasad Shri K.L.N.,Andhra Pradesh,Congress,03/04/1982 02/04/1988,"16/07/1987
Death",03/04/82,02/04/88,,
139,Prasad Smt. Leeladevi Renuka,Karnataka,JD,10/04/1996 09/04/2002,"22/04/1996
Resignation",10/04/96,09/04/02,,
140,Prasad Shri Rajniti,Bihar,RJD,03/04/2006 02/04/2012,Retirement,03/04/06,02/04/12,,
141,Prasad Shri Ravi Shankar,Bihar,BJP,03/04/2000 02/04/2006,Retirement,03/04/00,02/04/06,,
122,Prasad Shri Ravi Shankar,Bihar,BJP,03/04/2006 02/04/2012,Retirement,03/04/06,02/04/12,,
123,Prasad Shri Ravi Shankar,Bihar,BJP,03/04/2012 02/04/2018,Retirement,03/04/12,02/04/18,,
124,Prasad Shri Ravi Shankar,Bihar,BJP,03/04/2018 02/04/2024,"23/05/2019
Elected to Lok Sabha",03/04/18,02/04/24,,
142,Prasadrao Shri N.D.M.,Andhra Pradesh,CPI,30/11/1953 02/04/1956,Retirement,30/11/53,02/04/56,,
143,Prashant Shri Dharam Chander,Jammu & Kashmir,IND.,03/04/1982 02/04/1988,Retirement,03/04/82,02/04/88,,
144,Prem Manohar Shri,Uttar Pradesh,JS,03/04/1968 02/04/1974,Retirement,03/04/68,02/04/74,,
128,Prem Manohar Shri,Uttar Pradesh,JAN,14/07/1977 02/04/1980,Retirement,14/07/77,02/04/80,,
145,Premachandran Shri N. K.,Kerala,RSP,02/07/2000 01/07/2006,"17/05/2006
Resignation",02/07/00,01/07/06,,
146,Prithwi Nath Shri,Uttar Pradesh,O,03/04/1968 02/04/1974,Retirement,03/04/68,02/04/74,,
147,Puglia Shri Naresh C.,Maharashtra,CONG(I),05/07/1986 04/07/1992,Retirement,05/07/86,04/07/92,,
148,Pulger Shri Khamsum Namgyal,Sikkim,SSP,20/10/1987 19/10/1993,"01/03/1988
Resignation",20/10/87,19/10/93,,
149,Punj Shri Balbir,Uttar Pradesh,BJP,03/04/2000 02/04/2006,Retirement,03/04/00,02/04/06,,
132,Punj Shri Balbir,Odisha,BJP,03/04/2008 02/04/2014,Retirement,03/04/08,02/04/14,,
150,Punnaiah Shri Kota,Andhra Pradesh,Congress,03/04/1960 02/04/1966,Retirement,03/04/60,02/04/66,,
1,Punnaiah Shri Kota,Andhra Pradesh,Congress,03/04/1966 02/04/1972,Retirement,03/04/66,02/04/72,,
2,Punnaiah Shri Kota,Andhra Pradesh,Congress,10/04/1972 09/04/1978,Retirement,10/04/72,09/04/78,,
151,Purakayastha Shri Mahitosh,Assam,Congress,03/04/1966 02/04/1972,"21/03/1972
Resignation",03/04/66,02/04/72,,
152,Puri Shri D.D.,Haryana,Congress,03/04/1970 02/04/1976,Retirement,03/04/70,02/04/76,,
153,Puri Shri Mukand Lal,Punjab,Congress,03/04/1952 11/01/1953,"11/01/1953
Death",03/04/52,11/01/53,,
154,Pustake Shri Trimbak Damodar,Madhya Bharat,Congress,03/04/1952 02/04/1958,Retirement,03/04/52,02/04/58,,
1,Qasim Shri Syyed Mir,Jammu & Kashmir,Congress,29/07/1975 10/11/1978,Retirement,29/07/75,10/11/78,,
2,Qausem Shri Mostafa Bin,West Bengal,CPI(M),03/04/1984 02/04/1990,Retirement,03/04/84,02/04/90,,
3,Qureshi Shri Abdul Gaiyur,Madhya Pradesh,Congress,10/04/1996 09/04/2002,Retirement,10/04/96,09/04/02,,
1,Rachaiah Shri B.,Karnataka,Congress,03/04/1974 02/04/1980,"21/03/1977
Elected to Lok Sabha",03/04/74,02/04/80,,
2,Radhakrishna Shri Puttapaga,Andhra Pradesh,TDP,10/04/1984 09/04/1990,Retirement,10/04/84,09/04/90,,
3,Rafique Alam Shri,Bihar,CONG(I),03/04/1982 02/04/1988,Retirement,03/04/82,02/04/88,,
3,Rafique Alam Shri,Bihar,CONG(I),03/04/1988 02/04/1994,Retirement,03/04/88,02/04/94,,
4,Raghavan Shri V.V.,Kerala,CPI,02/07/2000 01/07/2006,"27/10/2004
Death",02/07/00,01/07/06,,
5,Raghavji Shri,Madhya Pradesh,BJP,12/08/1991 29/06/1992,Retirement,12/08/91,29/06/92,,
6,Raghavji Shri,Madhya Pradesh,BJP,03/04/1994 02/04/2000,Retirement,03/04/94,02/04/00,,
6,Raghu Vira Dr.,Bombay,Congress,03/04/1952 02/04/1956,Retirement,03/04/52,02/04/56,,
7,Raghu Vira Dr.,Bombay,Congress,03/04/1956 02/04/1962,Retirement,03/04/56,02/04/62,,
7,Raghubir Sinh Dr.,Madhya Bharat,Congress,03/04/1952 02/04/1954,Retirement,03/04/52,02/04/54,,
8,Raghubir Sinh Dr.,Madhya Bharat,Congress,03/04/1954 02/04/1960,Retirement,03/04/54,02/04/60,,
8,Raha Shri Sanat Kumar,West Bengal,CPI,03/04/1972 02/04/1978,Retirement,03/04/72,02/04/78,,
9,Rahman Shri Mohd. Khalleelur,Andhra Pradesh,TDP,05/10/1987 02/04/1988,Retirement,05/10/87,02/04/88,,
9,Rahman Shri Mohd. Khalleelur,Andhra Pradesh,TDP,03/04/1988 02/04/1994,Retirement,03/04/88,02/04/94,,
10,Rahman Shri Motiur,Bihar,RJD,08/07/2004 07/07/2010,"18/12/2007
Death",08/07/04,07/07/10,,
11,Rahmath Ullah Shri K. Muhammad,Madras,Congress,03/04/1952 02/04/1954,Retirement,03/04/52,02/04/54,,
12,Rahmathulla Shri Mohammad,Andhra Pradesh,CONG(I),03/04/1976 02/04/1982,Retirement,03/04/76,02/04/82,,
13,Rai Shri Kalp Nath,Uttar Pradesh,Congress,03/04/1974 02/04/1980,Retirement,03/04/74,02/04/80,,
11,Rai Shri Kalp Nath,Uttar Pradesh,CONG(I),05/07/1980 04/07/1986,Retirement,05/07/80,04/07/86,,
12,Rai Shri Kalp Nath,Uttar Pradesh,CONG(I),05/07/1986 04/07/1992,"27/11/1989
Elected to Lok Sabha",05/07/86,04/07/92,,
14,Rai Smt. Kum Kum,Bihar,RJD,03/04/2000 02/04/2006,Retirement,03/04/00,02/04/06,,
