s_no,member_name,state,party,term,vacate_reason
73,Amjad Ali Shri Sardar,West Bengal,CONG(I),03/04/1972 02/04/1978,Retirement
74,Amla Shri Tirath Ram,Jammu & Kashmir,Congress,04/05/1967 02/04/1970,Retirement
74,Amla Shri Tirath Ram,Jammu & Kashmir,Congress,03/04/1970 02/04/1976,Retirement
74,Amla Shri Tirath Ram,Jammu & Kashmir,Congress,03/04/1976 02/04/1982,Retirement
74,Amla Shri Tirath Ram,Jammu & Kashmir,CONG(I),12/12/1985 11/12/1991,Retirement
75,Ammanna Raja Smt. C.,Andhra Pradesh,Congress,03/04/1962 02/04/1968,Retirement
76,Ammu Swaminadhan Smt.,Madras,Congress,09/11/1957 02/04/1960,Retirement
77,Amolakh Chand Shri,Uttar Pradesh,Congress,03/04/1952 02/04/1954,Retirement
77,Amolakh Chand Shri,Uttar Pradesh,Congress,03/04/1954 02/04/1960,Retirement
78,Amrit Kaur Rajkumari,Punjab,Congress,20/04/1957 02/04/1958,Retirement
78,Amrit Kaur Rajkumari,Punjab,Congress,03/04/1958 02/04/1964,"06/02/1964
Death"
79,Amrita Pritam Smt.,Nominated,NOM.,12/05/1986 11/05/1992,Retirement
80,Anand Shri Jagjit Singh,Punjab,CPI,03/04/1974 02/04/1980,Retirement
81,Anand Shri R. K.,Jharkhand,INC,03/04/2000 14/11/2000,Reorganisation of the State
81,Anand Shri R. K.,Jharkhand,INC,15/11/2000 02/04/2006,Retirement
82,Anand Chand Shri,Bihar,Congress,03/04/1958 02/04/1964,Retirement
82,Anand Chand Shri,Bihar,Congress,03/04/1964 02/04/1970,Retirement
83,Anandam Shri M.,Andhra Pradesh,Congress,11/03/1969 02/04/1974,Retirement
83,Anandam Shri M.,Andhra Pradesh,CONG(I),03/04/1974 02/04/1980,Retirement
84,Anandan Shri T.V.,Tamil Nadu,CONG(O),03/04/1964 02/04/1970,Retirement
84,Anandan Shri T.V.,Tamil Nadu,CONG(O),03/04/1970 02/04/1976,Retirement
85,Anant Ram Pandit,Jammu & Kashmir,J&KNC,03/04/1952 02/04/1954,Retirement
86,Anbalagan Shri P.,Tamil Nadu,AIADMK,28/07/1980 02/04/1984,Retirement
87,Anbalagan Shri S.,Tamil Nadu,AIADMK,30/06/2004 29/06/2010,Retirement
88,Angelina Tiga Smt.,Bihar,JHKP,03/04/1952 02/04/1954,Retirement
