s_no,member_name,state,party,term,vacate_reason
188,Mohinder Kaur Smt.,Punjab,INC,03/04/1964 02/04/1970,"24/02/1967
Resignation"
188,Mohinder Kaur Smt.,Himachal Pradesh,BJP,10/04/1978 09/04/1984,Retirement
189,Mohite-Patil Shri Ranjitsinh Vijaysinh,Maharashtra,NCP,04/08/2009 02/04/2012,Retirement
190,Mohta Shri Gopaldas Bulakidasji,Madhya Pradesh,INC,03/04/1952 02/04/1956,Retirement
191,Mohta Shri Mahendra Kumar,Rajasthan,O,03/04/1968 02/04/1974,Retirement
192,Mohunta Shri Sushil Chand,Haryana,LD,02/08/1980 01/08/1986,Retirement
193,Moideen Shri M. J. Jamal,Madras,INC,03/04/1962 02/04/1968,Retirement
194,Moinul Hassan Shri,West Bengal,CPI(M),03/04/2006 02/04/2012,Retirement
195,Momin Shri Gulam Haider Valimohmed,Gujarat,INC,03/04/1964 02/04/1970,Retirement
196,Mondal Shri Ahmad Hossain,West Bengal,INC,10/07/1975 09/07/1981,Retirement
197,Mookerjee Shri Debabrata,West Bengal,O,04/11/1965 02/04/1968,Retirement
198,Mookerjee Dr. Radha Kumud,Nominated,O,03/04/1952 02/04/1958,Retirement
199,Moopanar Shri G. K.,Tamil Nadu,INC,25/07/1977 24/07/1983,"30/08/2001
Retirement"
199,Moopanar Shri G. K.,Tamil Nadu,INC,25/07/1983 24/07/1989,"02/02/1989
Resignation"
199,Moopanar Shri G. K.,Tamil Nadu,INC,25/07/1995 24/07/2001,"09/09/1997
Resignation"
199,Moopanar Shri G. K.,Tamil Nadu,TMC(M),30/06/1998 29/06/2004,"30/08/2001
Death"
200,Morarka Shri Kamal,Rajasthan,JD(S),03/04/1988 02/04/1994,Retirement
201,Morarka Shri Radheshyam R.,Rajasthan,JAN,10/04/1978 09/04/1984,Retirement
202,Moses Shri M.,Tamil Nadu,INC,03/04/1978 02/04/1984,Retirement
203,Mubarak Shah Shri Khawaja,Jammu & Kashmir,J&KNC,11/11/1978 10/11/1984,"10/01/1980
Elected to Lok Sabha"
204,Mudaliar Dr. A. Ramaswami,Madras,IND.,03/04/1952 02/04/1956,Retirement
204,Mudaliar Dr. A. Ramaswami,Madras,IND.,03/04/1956 02/04/1962,Retirement
205,Mujumdar Shri M. R.,Madhya Pradesh,INC,03/04/1952 02/04/1956,Retirement
206,Mukerjee Shri B. K.,Uttar Pradesh,INC,03/04/1952 02/04/1958,Retirement
207,Mukherjee Shri Dipankar,West Bengal,CPI(M),03/04/1994 02/04/2000,Retirement
207,Mukherjee Shri Dipankar,West Bengal,CPI(M),03/04/2000 02/04/2006,Retirement
208,Mukherjee Shri Kali,West Bengal,INC,03/04/1972 02/04/1978,Retirement
209,Mukherjee Smt. Kanak,West Bengal,CPI(M),03/04/1978 02/04/1984,Retirement
209,Mukherjee Smt. Kanak,West Bengal,CPI(M),03/04/1984 02/04/1990,Retirement
210,Mukherjee Shri Pranab,West Bengal,CONG(I),10/07/1969 09/07/1975,Retirement
210,Mukherjee Shri Pranab,West Bengal,CONG(I),10/07/1975 09/07/1981,Retirement
210,Mukherjee Shri Pranab,Gujarat,CONG(I),14/08/1981 13/08/1987,Retirement
210,Mukherjee Shri Pranab,West Bengal,INC,19/08/1993 18/08/1999,Retirement
210,Mukherjee Shri Pranab,West Bengal,INC,19/08/1999 18/08/2005,"13/05/2004
Elected to Lok Sabha"
211,Mukherjee Shri Samar,West Bengal,CPI(M),29/12/1986 09/07/1987,Retirement
211,Mukherjee Shri Samar,West Bengal,CPI(M),10/07/1987 09/07/1993,Retirement
212,Mukherji Dr. Barun,West Bengal,AIFB,03/04/2006 06/05/2008,"06/05/2008
Resignation"
212,Mukherji Dr. Barun,West Bengal,AIFB,18/11/2008 02/04/2014,Retirement
213,Mukhopadhyay Smt. Purabi,West Bengal,INC,03/04/1970 02/04/1976,Retirement
213,Mukhopadhyay Smt. Purabi,West Bengal,INC,03/04/1976 02/04/1982,Retirement
214,Mulla Shri Anand Narain,Uttar Pradesh,INC,03/04/1972 02/04/1978,Retirement
215,Mulla Shri Suresh Narain,Uttar Pradesh,INC,03/04/1976 02/04/1982,Retirement
216,Mullana Shri Faqir Chand,Haryana,INLD,03/04/2000 02/04/2006,Retirement
217,Mullick Chowdhury Shri Suhrid,West Bengal,FB,10/07/1969 09/07/1975,Retirement
218,Munda Shri Bhaiya Ram,Bihar,INC,10/04/1972 09/04/1978,Retirement
219,Munda Dr. Ram Dayal,Nominated,INC,22/03/2010 21/03/2016,"30/09/2011
Death"
220,Mungekar Dr. Bhalchandra,Nominated,INC,22/03/2010 21/03/2016,Retirement
221,Munshi Shri Arman Ali,Manipur and Tripura,O,03/04/1952 02/04/1954,Retirement
222,Munshi Smt. Lilavati,Bombay,INC,03/04/1952 02/04/1958,Retirement
223,Murahari Shri Godey,Uttar Pradesh,O,03/04/1962 02/04/1968,Retirement
223,Murahari Shri Godey,Uttar Pradesh,O,03/04/1968 02/04/1974,Retirement
223,Murahari Shri Godey,Uttar Pradesh,IND.,03/04/1974 02/04/1980,"20/03/1977
Elected to Lok Sabha"
224,Murari Lal Dr.,Uttar Pradesh,INC,03/04/1952 02/04/1956,Retirement
225,Murthy Shri K. B. Krishna,Karnataka,INC,03/04/2000 02/04/2006,Retirement
226,Murthy Shri M. Rajasekara,Karnataka,CONG(I),03/04/1994 23/08/1999,Resignation
226,Murthy Shri M. Rajasekara,Karnataka,BJP,03/04/2000 02/04/2006,"10/11/2005
Resignation"
226,Murthy Shri M. Rajasekara,Karnataka,JD(S),03/04/2006 02/04/2012,"05/12/2010
Death"
227,Murty Dr. Y. Radhakrishna,Andhra Pradesh,CPI(M),10/04/1996 09/04/2002,Retirement
228,Musafir Shri Gurmukh Singh,Punjab,INC,03/04/1968 02/04/1974,Retirement
228,Musafir Shri Gurmukh Singh,Punjab,INC,03/04/1974 02/04/1980,"18/01/1976
Death"
229,Muthu Dr.(Smt.) Sathiavani,Tamil Nadu,AIADMK,03/04/1978 02/04/1984,Retirement
230,Muthukaruppan Shri S.,Tamil Nadu,AIADMK,03/04/2014 02/04/2020,Retirement
1,Nadukkara Shri Joy,Kerala,O,27/10/1995 21/04/1997,Retirement
2,Nafisul Hasan Shri,Uttar Pradesh,O,03/04/1960 02/04/1966,Retirement
3,Nag Dr. Kalidas,Nominated,NOM.,03/04/1952 02/04/1954,Retirement
4,Nagaraja Murthy Shri B.P.,Karnataka,INC,03/04/1970 02/04/1976,Retirement
5,Nagmani Shri,Bihar,JD,03/04/1994 02/04/2000,07/10/99
6,Nagoke Jathedar Udham Singh,Punjab,INC,03/04/1952 02/04/1954,Retirement
6,Nagoke Jathedar Udham Singh,Punjab,INC,03/04/1954 02/04/1960,Retirement
7,Nagpure Shri Vithalrao Tukaram,Maharashtra,INC,03/04/1960 02/04/1966,Retirement
7,Nagpure Shri Vithalrao Tukaram,Maharashtra,INC,03/04/1966 02/04/1972,Retirement
8,Nahata Smt. Jayaprada,Andhra Pradesh,TDP,10/04/1996 09/04/2002,Retirement
9,Naicker Shri M.A. Manickavelu,Madras,O,03/04/1962 02/04/1968,"15/04/1964
Resignation"
10,Naidu Shri M. Venkaiah,Karnataka,BJP,03/04/1998 02/04/2004,Retirement
10,Naidu Shri M. Venkaiah,Karnataka,BJP,01/07/2004 30/06/2010,Retirement
10,Naidu Shri M. Venkaiah,Karnataka,BJP,01/07/2010 30/06/2016,"23/06/2016
Resignation"
10,Naidu Shri M. Venkaiah,Rajasthan,BJP,05/07/2016 04/07/2022,"10/08/2017
Resignation"
11,Naidu Ms. M.L. Mary,Andhra Pradesh,O,03/04/1964 02/04/1970,Retirement
12,Naidu Shri N.P. Chengalraya,Andhra Pradesh,INC,10/04/1978 09/04/1984,Retirement
13,Naidu Shri P.S. Rajagopal,Madras,INC,03/04/1952 02/04/1954,Retirement
13,Naidu Shri P.S. Rajagopal,Madras,INC,03/04/1954 02/04/1960,Retirement
14,Naik Shri G. Swamy,Andhra Pradesh,CONG(I),03/04/1980 02/04/1986,Retirement
15,Naik Shri L. Narsing,Andhra Pradesh,TDP,03/04/1988 02/04/1994,"12/01/1989
Death"
16,Naik Shri L.R.,Karnataka,CONG(I),20/07/1977 02/04/1980,Retirement
17,Naik Shri Maheshwar,Odisha,INC,03/04/1956 02/04/1962,"27/02/1962
Elected to Lok Sabha"
18,Naik Shri Pravin,Gujarat,BJP,19/02/2010 18/08/2011,Retirement
19,Naik Shri R.S.,Karnataka,JD(U),03/04/1980 02/04/1986,Retirement
20,Naik Shri Shantaram,Goa,INC,29/07/2005 28/07/2011,Retirement
20,Naik Shri Shantaram,Goa,INC,29/07/2011 28/07/2017,Retirement
21,Nair Shri C.K. Govindan,Kerala,INC,03/04/1964 02/04/1970,"27/06/1964
Death"
22,Nair Shri G. Gopinathan,Kerala,RSP,03/04/1968 02/04/1974,Retirement
23,Nair Shri K.P. Madhavan,Travancore Cochin,INC,03/04/1952 02/04/1956,Retirement
23,Nair Shri K.P. Madhavan,Travancore Cochin,INC,03/04/1956 02/04/1962,Retirement
24,Nair Shri M.N. Govindan,Kerala,CPI(M),03/04/1956 02/04/1962,Retirement
24,Nair Shri M.N. Govindan,Kerala,CPI(M),03/04/1962 02/04/1968,"03/03/1967
Resignation"
25,Nair Shri P. Narayanan,Kerala,CPI,03/04/1956 02/04/1960,Retirement
26,Nallasivan Shri A.,Tamil Nadu,CPI(M),25/07/1989 24/07/1995,Retirement
27,Nalwa Shri Hari Singh,Haryana,CONG(I),19/03/1980 02/04/1982,Retirement
27,Nalwa Shri Hari Singh,Haryana,CONG(I),03/04/1982 02/04/1988,Retirement
28,Nanda Shri Kiranmay,Uttar Pradesh,SP,03/04/2012 02/04/2018,Retirement
29,Nanda Shri Narasingha Prasad,Odisha,INC,03/04/1976 02/04/1982,Retirement
30,Nandamuri Harikrishna Shri,Andhra Pradesh,TDP,10/04/2008 09/04/2014,"22/08/2013
Resignation"
31,Nandi Yellaiah Shri,Andhra Pradesh,INC,10/04/2002 09/04/2008,Retirement
31,Nandi Yellaiah Shri,Andhra Pradesh,INC,10/04/2008 09/04/2014,"14/03/2014
Resignation"
32,Nandy Shri Pritish,Maharashtra,SS,05/07/1998 04/07/2004,Retirement
33,Nanjundaiya Shri B.C.,Mysore,INC,25/04/1957 02/04/1960,Retirement
33,Nanjundaiya Shri B.C.,Mysore,INC,03/04/1960 02/04/1966,Retirement
34,Narasiah Shri H.S.,Karnataka,INC,10/04/1972 09/04/1978,"15/05/1977
Retirement"
35,Narayan Shri Deokinandan,Bombay,INC,03/04/1952 02/04/1954,Retirement
35,Narayan Shri Deokinandan,Bombay,INC,03/04/1954 02/04/1960,Retirement
35,Narayan Shri Deokinandan,Bombay,INC,03/04/1960 02/04/1966,Retirement
36,Narayan Shri M.D.,Mysore,O,03/04/1966 02/04/1972,Retirement
37,"Narayan Shri R.K,",Nominated,NOM.,12/05/1986 11/05/1992,Retirement
38,Narayanan Shri C.P.,Kerala,CPI(M),02/07/2012 01/07/2018,Retirement
39,Narayanan Shri P. G.,Tamil Nadu,AIADMK,25/07/2001 24/07/2007,Retirement
40,Narayanappa Shri Konda,Hyderabad,INC,03/04/1952 02/04/1954,Retirement
41,Narayanappa Shri Sanda,Andhra Pradesh,O,03/04/1968 02/04/1974,Retirement
42,Narayanasamy Shri V.,Puducherry,CONG(I),05/08/1985 04/08/1991,Retirement
42,Narayanasamy Shri V.,Puducherry,CONG(I),05/08/1991 04/08/1997,Retirement
42,Narayanasamy Shri V.,Puducherry,INC,07/10/2003 06/10/2009,"16/05/2009
Elected to Lok Sabha"
43,Narendra Deva Shri,Uttar Pradesh,O,03/04/1952 02/04/1954,Retirement
43,Narendra Deva Shri,Uttar Pradesh,O,03/04/1954 02/04/1960,"20/02/1956
Death"
44,Narendra Mohan Shri,Uttar Pradesh,BJP,26/11/1996 25/11/2002,"20/09/2002
Death"
45,Narendra Singh Shri,Uttar Pradesh,JAN,14/07/1977 02/04/1978,Retirement
45,Narendra Singh Shri,Uttar Pradesh,JAN,03/04/1978 02/04/1984,Retirement
45,Narendra Singh Shri,Uttar Pradesh,INC,03/04/1984 02/04/1990,"04/02/1985
Resignation"
46,Nariman Shri Fali S.,Nominated,NOM.,22/11/1999 21/11/2005,Retirement
47,Narsimham Shri K.L.,Madras,CPI,03/04/1952 02/04/1958,Retirement
47,Narsimham Shri K.L.,Madras,CPI,03/04/1958 02/04/1964,Retirement
48,Natarajan Shri C.D.,Tamil Nadu,DMK,03/04/1974 02/04/1980,Retirement
49,Natarajan Smt. Jayanthi,Tamil Nadu,INC,30/06/1986 29/06/1992,Retirement
49,Natarajan Smt. Jayanthi,Tamil Nadu,INC,30/06/1992 29/06/1998,"09/09/1997
Resignation"
49,Natarajan Smt. Jayanthi,Tamil Nadu,TMC(M),10/10/1997 24/07/2001,Retirement
49,Natarajan Smt. Jayanthi,Tamil Nadu,INC,03/04/2008 02/04/2014,Retirement
50,Natchiappan Dr. E.M. Sudarsana,Tamil Nadu,INC,30/06/2004 29/06/2010,Retirement
50,Natchiappan Dr. E.M. Sudarsana,Tamil Nadu,INC,30/06/2010 29/06/2016,Retirement
51,Natha Singh Shri,Rajasthan,INC,03/04/1982 02/04/1988,Retirement
52,Nathi Singh Shri,Rajasthan,LD,03/04/1974 02/04/1980,Retirement
53,Nathwani Shri Parimal,Jharkhand,IND.,10/04/2008 09/04/2014,Retirement
53,Nathwani Shri Parimal,Jharkhand,IND.,10/04/2014 09/04/2020,Retirement
54,Natwar Singh Shri K.,Rajasthan,INC,10/04/2002 09/04/2008,"23/02/2008
Resignation"
55,Nausher Ali Syed,West Bengal,Congress,03/04/1952 02/04/1956,Retirement
55,Nausher Ali Syed,West Bengal,CPI,03/04/1962 02/04/1968,Retirement
56,Nawal Kishore Shri,Uttar Pradesh,INC,30/03/1970 29/03/1976,"19/04/1975
Death"
57,Nayak Dr. Radhakant,Odisha,INC,02/07/2004 01/07/2010,Retirement
58,Nayyar Shri Kuldip,Nominated,NOM.,27/08/1997 26/08/2003,Retirement
59,Nehru Smt. Uma,Uttar Pradesh,O,03/04/1962 02/04/1968,"28/08/1963
Death"
60,Neki Ram Shri,Punjab,INC,03/04/1960 02/04/1966,Retirement
60,Neki Ram Shri,Punjab,INC,03/04/1966 02/04/1972,Retirement
61,Nigam Shri Ladli Mohan,Madhya Pradesh,JAN,10/04/1978 09/04/1984,Retirement
62,Nigam Smt. Savitry Devi,Uttar Pradesh,INC,03/04/1952 02/04/1956,Retirement
62,Nigam Smt. Savitry Devi,Uttar Pradesh,INC,03/04/1956 02/04/1962,"28/02/1962
Elected to Lok Sabha"
63,Nihal Singh Shri M.H..S.,Punjab,INC,03/04/1952 02/04/1954,Retirement
63,Nihal Singh Shri M.H..S.,Punjab,INC,03/04/1954 02/04/1960,Retirement
64,Niraikulathan Shri S.,Tamil Nadu,AIADMK,03/04/1996 02/04/2002,Retirement
65,Niranjan Singh Shri,Madhya Pradesh,O,03/04/1958 02/04/1964,Retirement
65,Niranjan Singh Shri,Madhya Pradesh,O,03/04/1964 02/04/1970,"17/10/1968
Death"
66,Nirupam Shri Sanjay,Maharashtra,SS,27/09/1996 02/04/2000,"02/04/2000
Retirement"
66,Nirupam Shri Sanjay,Maharashtra,SS,03/04/2000 02/04/2006,"18/03/2005
Resignation"
67,Nishad Shri Jai Narain Prasad,Bihar,BJP,08/07/2004 07/07/2010,"26/03/2008
Disqualification"
68,Nishad Shri Vidya Sagar,Bihar,RJD,23/06/2004 02/04/2006,Retirement
69,Nizam-Ud-Din Shri Syed,Jammu & Kashmir,JAN,16/04/1974 15/04/1980,Retirement
70,Nomani Maulana Habibur Rahman,Nominated,NOM.,27/08/1993 26/08/1999,Retirement
71,Nongtdu Shri Onward L.,Meghalaya,INC,13/04/1996 12/04/2002,Retirement
72,Nurul Hasan Prof. S.,Nominated,NOM.,03/04/1968 02/04/1974,"30/09/1971
Resignation"
72,Nurul Hasan Prof. S.,Uttar Pradesh,INC,11/11/1971 02/04/1972,Retirement
72,Nurul Hasan Prof. S.,Uttar Pradesh,INC,03/04/1972 02/04/1978,Retirement
1,Obaidullah Sahib Shri V.M.,Madras,Congress,03/04/1952 02/04/1956,Retirement
1,Obaidullah Sahib Shri V.M.,Madras,Congress,03/04/1956 02/04/1962,"21/02/1958
Death"
2,Oberoi Shri Mohan Singh,Uttar Pradesh,O,03/04/1962 02/04/1968,"04/03/1968
Elected to Lok Sabha"
2,Oberoi Shri Mohan Singh,Uttar Pradesh,BKD,03/04/1972 02/04/1978,Retirement
3,Ojha Shri Nagendra Nath,Bihar,CPI,10/04/1996 09/04/2002,Retirement
4,Onkar Nath Shri,Delhi,Congress,03/04/1952 16/04/1955,"16/04/1955
Resignation"
4,Onkar Nath Shri,Delhi,Congress,24/11/1956 02/04/1960,Retirement
5,Oza Shri Ghanshyambhai,Gujarat,JAN,10/04/1978 09/04/1984,Retirement
1,Pachouri Shri Suresh,Madhya Pradesh,CONG(I),10/04/1984 09/04/1990,Retirement
1,Pachouri Shri Suresh,Madhya Pradesh,CONG(I),10/04/1990 09/04/1996,Retirement
1,Pachouri Shri Suresh,Madhya Pradesh,CONG(I),10/04/1996 09/04/2002,Retirement
1,Pachouri Shri Suresh,Madhya Pradesh,INC,10/04/2002 09/04/2008,Retirement
2,Padmanabham Shri Mentay,Andhra Pradesh,TDP,13/09/1989 02/04/1994,Retirement
3,Pahadia Shri Jagannath Prasad,Rajasthan,O,02/03/1965 21/03/1966,"21/03/1966
Resignation"
3,Pahadia Shri Jagannath Prasad,Rajasthan,O,22/03/1966 23/02/1967,"23/02/1967
Elected to Lok Sabha"
4,Pahadia Smt. Shanti,Rajasthan,CONG(I),10/04/1984 09/04/1990,Retirement
5,Pai Shri T.A.,Karnataka,Congress,10/04/1972 09/04/1978,"21/03/1977
Elected to Lok Sabha"
6,Pal Shri Shriram,Uttar Pradesh,BSP,19/06/2009 04/07/2010,Retirement
7,Palaniyandi Shri M.,Tamil Nadu,CONG(I),30/06/1986 29/06/1992,Retirement
8,Paliwal Shri Srikrishna Dutt,Uttar Pradesh,Congress,27/04/1967 02/04/1968,Retirement
9,Paliwal Shri Tika Ram,Rajasthan,O,03/04/1958 02/04/1964,"01/03/1962
Elected to Lok Sabha"
10,Panchariya Shri Narayan Lal,Rajasthan,BJP,10/04/2014 09/04/2020,Retirement
11,Panda Shri Akshay,Odisha,INC,02/07/1980 01/07/1986,Retirement
12,Panda Shri B. J.,Odisha,BJD,04/04/2000 03/04/2006,Retirement
12,Panda Shri B. J.,Odisha,BJD,04/04/2006 03/04/2012,"16/05/2009
Elected to Lok Sabha"
13,Panda Shri Brahmananda,Odisha,Congress,30/11/1967 02/04/1972,Retirement
13,Panda Shri Brahmananda,Odisha,Congress,03/04/1972 02/04/1978,Retirement
14,Panda Smt. Ila,Odisha,JD,02/07/1992 01/07/1998,Retirement
15,Panda Shri Krishna Chandra,Odisha,Swatantra,03/04/1968 02/04/1974,"14/03/1974
Resignation"
16,Pande Shri Avinash,Maharashtra,INC,05/07/2010 04/07/2016,Retirement
17,Pande Shri Bishambhar Nath,Uttar Pradesh,CONG(I),03/04/1976 02/04/1982,Retirement
17,Pande Shri Bishambhar Nath,Uttar Pradesh,CONG(I),03/04/1982 02/04/1988,"29/06/1983
Resignation"
17,Pande Shri Bishambhar Nath,Nominated,NOM.,25/11/1988 24/11/1994,Retirement
18,Pande Shri C.D.,Uttar Pradesh,Congress,03/04/1962 02/04/1968,Retirement
18,Pande Shri C.D.,Uttar Pradesh,Congress,03/04/1968 02/04/1974,Retirement
19,Pande Shri Tarkeshwar,Uttar Pradesh,Congress,03/04/1952 02/04/1958,Retirement
19,Pande Shri Tarkeshwar,Uttar Pradesh,Congress,03/04/1958 02/04/1964,Retirement
19,Pande Shri Tarkeshwar,Uttar Pradesh,Congress,03/04/1964 02/04/1970,"15/12/1964
Resignation"
19,Pande Shri Tarkeshwar,Uttar Pradesh,Congress,30/07/1966 02/04/1970,Retirement
20,Pandey Smt. Chandra Kala,West Bengal,CPI(M),19/08/1993 18/08/1999,Retirement
20,Pandey Smt. Chandra Kala,West Bengal,CPI(M),19/08/1999 18/08/2005,Retirement
21,Pandey Smt. Manorama,Bihar,CONG(I),07/07/1980 06/07/1986,Retirement
21,Pandey Smt. Manorama,Bihar,CONG(I),07/07/1986 06/07/1992,Retirement
22,Pandey Shri Narsingh Narain,Uttar Pradesh,CONG(I),30/06/1980 02/04/1982,Retirement
23,Pandey Dr. Ratnakar,Uttar Pradesh,CONG(I),05/07/1986 04/07/1992,Retirement
24,Pandey Shri Sudhakar,Uttar Pradesh,CONG(I),05/07/1980 04/07/1986,Retirement
25,Pandian Shri N. Thangaraj,Tamil Nadu,AIADMK,30/06/1992 29/06/1998,Retirement
26,Pandian Shri Paul Manoj,Tamil Nadu,AIADMK,30/06/2010 29/06/2016,Retirement
27,Pandya Shri Dilipbhai,Gujarat,BJP,19/08/2011 18/08/2017,
28,Pandya Dr. Pranav,Nominated,NOM.,04/05/2016 03/05/2022,"11/05/2016
Resignation"
29,Panicker Shri K. Vasudeva,Odisha,CONG(I),03/04/1984 02/04/1990,"03/05/1988
Death"
30,Panigrahi Shri Swapnananda,Odisha,Congress,03/04/1954 02/04/1960,Retirement
31,Panikkar Sardar K.M.,Nominated,NOM.,25/08/1959 02/04/1960,Retirement
31,Panikkar Sardar K.M.,Nominated,NOM.,03/04/1960 02/04/1966,"22/05/1961
Resignation"
32,Panjhazari Sardar Raghbir Singh,Patiala and East Punjab States Union,Congress,03/04/1954 02/04/1960,Retirement
32,Panjhazari Sardar Raghbir Singh,Patiala and East Punjab States Union,Congress,03/04/1960 02/04/1966,Retirement
32,Panjhazari Sardar Raghbir Singh,Patiala and East Punjab States Union,Congress,03/04/1966 02/04/1972,Retirement
33,Pant Pandit Govind Ballabh,Uttar Pradesh,Congress,02/03/1955 02/04/1958,Retirement
33,Pant Pandit Govind Ballabh,Uttar Pradesh,Congress,03/04/1958 02/04/1964,"07/03/1961
Death"
34,Pant Shri K.C.,Uttar Pradesh,CONG(I),03/04/1978 02/04/1984,Retirement
35,Panwar Shri B.L.,Rajasthan,CONG(I),02/07/1985 04/07/1986,Retirement
35,Panwar Shri B.L.,Rajasthan,CONG(I),05/07/1986 04/07/1992,Retirement
36,Pany Shri Rudra Narayan,Odisha,BJP,24/06/2004 03/04/2006,Retirement
36,Pany Shri Rudra Narayan,Odisha,BJP,04/04/2006 03/04/2012,Retirement
37,Papireddi Shri Bezawada,Andhra Pradesh,JAN,10/04/1972 09/04/1978,Retirement
38,Parameswaran Shri B.,Madras,O,03/04/1958 02/04/1964,"12/03/1962
Resignation"
39,Paranjpye Smt. Shakuntala,Nominated,NOM.,03/04/1964 02/04/1970,Retirement
40,Parasaran Shri K.,Nominated,NOM.,29/06/2012 28/06/2018,Retirement
41,Parashar Shri Vinaykumar Ramlal,Maharashtra,Congress,03/04/1972 02/04/1978,Retirement
42,Parbhu Singh Shri,Haryana,JAN,02/08/1974 01/08/1980,Retirement
43,Parida Shri Baishnab,Odisha,BJD,02/07/2010 01/07/2016,Retirement
44,Parikh Shri Chandulal Pitamberdas,Bombay,Congress,03/04/1952 02/04/1954,Retirement
44,Parikh Shri Chandulal Pitamberdas,Bombay,Congress,03/04/1954 02/04/1958,Retirement
45,Parikh Prof. Ramlal,Gujarat,JAN,14/08/1975 13/08/1981,Retirement
46,Parjapati Shri Ranbir Singh,Haryana,INLD,02/08/2010 01/08/2016,"01/11/2014
Resignation"
47,Parmanand Dr.(Smt.) Seeta,Madhya Pradesh,Congress,03/04/1952 02/04/1958,Retirement
47,Parmanand Dr.(Smt.) Seeta,Madhya Pradesh,Congress,03/04/1958 02/04/1964,Retirement
48,Parmar Shri Bharatsinh Prabhatsinh,Gujarat,BJP,10/04/2008 09/04/2014,Retirement
49,Parmar Shri Kripal,Himachal Pradesh,BJP,03/04/2000 02/04/2006,Retirement
50,Parrikar Shri Manohar,Uttar Pradesh,BJP,26/11/2014 25/11/2020,"02/09/2017
Resignation"
51,Parthasarathy Prof.(Smt) G.,Madras,O,03/04/1960 02/04/1966,Retirement
52,Parthasarathy Shri R.T.,Madras,O,03/04/1966 02/04/1972,Retirement
53,Parvathi Krishnan Smt.,Tamil Nadu,O,03/04/1954 02/04/1960,"12/03/1957
Elected to Lok Sabha"
54,Pasha Shri Syed Azeez,Andhra Pradesh,CPI,03/04/2006 02/04/2012,Retirement
55,Paswan Shri Braham Deo Anand,Bihar,JD,01/06/1993 02/04/1994,Retirement
56,Paswan Shri Kameshwar,Bihar,BJP,10/04/1990 09/04/1996,Retirement
57,Paswan Shri Ram Bhagat,Bihar,CONG(I),07/07/1980 06/07/1986,"29/12/1984
Elected to Lok Sabha"
58,Patel Dr. A. K.,Gujarat,BJP,03/04/2000 02/04/2006,Retirement
59,Patel Smt. Anandiben Jethabhai,Gujarat,BJP,03/04/1994 02/04/2000,"12/03/1998
Resignation"
60,Patel Shri Chhotubhai,Gujarat,CONG(I),14/08/1987 13/08/1993,Retirement
61,Patel Shri D.K.,Gujarat,JS,03/04/1970 02/04/1976,Retirement
62,Patel Shri Dahyabhai V.,Bombay,O,03/04/1958 02/04/1964,Retirement
62,Patel Shri Dahyabhai V.,Bombay,O,03/04/1964 02/04/1970,Retirement
62,Patel Shri Dahyabhai V.,Bombay,O,03/04/1970 02/04/1976,"11/08/1973
Death"
63,Patel Shri Harihar,Odisha,O,03/04/1958 02/04/1964,"28/06/1961
Resignation"
64,Patel Shri Kanjibhai,Gujarat,BJP,03/04/2006 02/04/2012,Retirement
65,Patel Shri Keshubhai S.,Gujarat,BJP,10/04/2002 09/04/2008,Retirement
66,Patel Shri Maganbhai Shankerbhai,Gujarat,Congress,16/08/1960 02/04/1962,Retirement
66,Patel Shri Maganbhai Shankerbhai,Gujarat,Congress,03/04/1962 02/04/1968,"16/04/1967
Death"
67,Patel Ms. Maniben Vallabhbhai,Gujarat,O,03/04/1964 02/04/1970,Retirement
68,Patel Shri Manubhai,Gujarat,JD,10/04/1978 09/04/1984,Retirement
69,Patel Shri Mukesh R.,Maharashtra,SS,03/04/1996 02/04/2002,Retirement
69,Patel Shri Mukesh R.,Maharashtra,NCP,03/04/2002 02/04/2008,"15/06/2002
Death"
70,Patel Shri Ram Pujan,Uttar Pradesh,INC,16/09/1981 04/07/1986,"29/12/1984
Elected to Lok Sabha"
71,Patel Dr. Shanti G.,Maharashtra,JD,05/07/1980 04/07/1986,Retirement
72,Patel Shri Sundarmani,Odisha,O,03/04/1962 02/04/1968,Retirement
72,Patel Shri Sundarmani,Odisha,O,03/04/1968 02/04/1974,Retirement
73,Patel Shri Surendra Motilal,Gujarat,BJP,19/08/2005 18/08/2011,Retirement
74,Patel Shri Tribhovandas Kishibhai,Gujarat,Congress,21/07/1967 02/04/1968,Retirement
74,Patel Shri Tribhovandas Kishibhai,Gujarat,Congress,03/04/1968 02/04/1974,Retirement
75,Patel Smt. Urmilaben Chimanbhai,Gujarat,CONG(I),19/08/1993 18/08/1999,Retirement
76,Patel Shri Vithalbhai M.,Gujarat,CONG(I),03/04/1982 02/04/1988,Retirement
76,Patel Shri Vithalbhai M.,Gujarat,CONG(I),03/04/1988 02/04/1994,Retirement
77,Pathak Shri Ananda,West Bengal,CPI(M),13/07/1977 02/04/1978,Retirement
77,Pathak Shri Ananda,West Bengal,CPI(M),03/04/1978 02/04/1984,"09/01/1980
Retirement"
78,Pathak Shri Brajesh,Uttar Pradesh,BSP,26/11/2008 25/11/2014,Retirement
79,Pathak Shri Gopal Swarup,Uttar Pradesh,Congress,03/04/1960 02/04/1966,Retirement
79,Pathak Shri Gopal Swarup,Uttar Pradesh,Congress,03/04/1966 02/04/1972,"13/05/1967
Resignation"
